date,inception_return,one_day_return,one_month_return,one_week_return,one_year_return,portfolio,ytd_return
2025-04-04,38.1045,-4.00473,-7.4067,-5.77474,11.6626,core,-6.07507
2025-04-03,43.8261,-3.17415,-2.42289,-2.36721,15.2706,core,-2.1573
2025-04-02,48.5411,0.252584,0.0375202,0.626664,19.4637,core,1.05019
2025-04-01,48.1668,1.26353,-1.95114,-0.842591,18.9375,core,0.795599
2025-03-31,46.3181,-0.143727,-3.17455,-2.01817,16.7101,core,-0.46209
2025-03-28,46.5287,-0.532677,-2.92045,-0.444859,16.878,core,-0.318821
2025-03-27,47.3134,-0.205026,-1.76053,-0.21782,17.5362,core,0.215001
2025-03-26,47.616,-1.21121,-1.51513,-0.0524929,18.4178,core,0.42089
2025-03-25,49.4259,0.0629821,-0.613331,2.18969,19.755,core,1.65211
2025-03-24,49.3318,1.45968,-0.675888,1.26095,20.2312,core,1.58813
2025-03-21,47.1834,-0.305838,-4.1042,0.0981879,18.8478,core,0.126601
2025-03-20,47.6349,-0.0396784,-3.99095,2.6564,18.9567,core,0.433766
2025-03-19,47.6935,1.00498,-3.65831,1.49339,19.9662,core,0.473632
2025-03-18,46.224,-0.846425,-4.61689,0.979017,19.2278,core,-0.526059
2025-03-17,47.4723,0.294632,-3.80265,2.2053,20.2207,core,0.323101
2025-03-14,47.039,2.24205,-4.15154,0.568135,20.4089,core,0.0283854
2025-03-13,43.8147,-1.17215,-6.93367,-1.62776,17.0287,core,-2.16512
2025-03-12,45.5204,0.493084,-6.48535,-2.40864,18.6812,core,-1.00475
2025-03-11,44.8063,0.357686,-5.8755,-1.75789,18.3675,core,-1.49048
2025-03-10,44.2902,-1.31192,-6.21097,-2.82527,17.9546,core,-1.84158
2025-03-07,46.2084,0.00959718,-5.29748,-3.24713,18.7309,core,-0.5367
2025-03-06,46.1944,-1.95663,-5.05797,-1.81734,19.0151,core,-0.546245
2025-03-05,49.1119,1.16318,-4.13988,-1.20896,22.103,core,1.43854
2025-03-04,47.3974,-0.732682,-4.39481,-1.70446,20.3465,core,0.272193
2025-03-03,48.4854,-1.74035,-3.68916,-0.935129,20.991,core,1.01229
2025-02-28,51.1153,1.48752,-0.933804,0.510338,23.9125,core,2.80139
